,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
24,2024-01-12,20:30,Bundesliga,Matchweek 17,Fri,Home,W,3,0,Hoffenheim,2.8,1.2,61.0,75000.0,Manuel Neuer,4-2-3-1,Benjamin Brand,Match Report,,27.0,11.0,17.6,0.0,0,0,2024,Bayern Munich
25,2024-01-21,15:30,Bundesliga,Matchweek 18,Sun,Home,L,0,1,Werder Bremen,1.9,0.4,68.0,75000.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,22.0,7.0,15.6,1.0,0,0,2024,Bayern Munich
26,2024-01-24,20:30,Bundesliga,Matchweek 13,Wed,Home,W,1,0,Union Berlin,2.1,0.2,72.0,75000.0,Manuel Neuer,4-2-3-1,Frank Willenborg,Match Report,,22.0,10.0,16.6,0.0,0,0,2024,Bayern Munich
27,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,W,3,2,Augsburg,2.3,2.6,58.0,30660.0,Manuel Neuer,4-2-3-1,Christian Dingert,Match Report,,13.0,4.0,14.2,0.0,0,0,2024,Bayern Munich
28,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,W,3,1,Gladbach,2.1,1.0,55.0,75000.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,20.0,6.0,17.9,1.0,0,0,2024,Bayern Munich
29,2024-02-10,18:30,Bundesliga,Matchweek 21,Sat,Away,L,0,3,Leverkusen,0.6,1.3,61.0,30210.0,Manuel Neuer,3-4-3,Felix Zwayer,Match Report,,9.0,1.0,17.2,0.0,0,0,2024,Bayern Munich
31,2024-02-18,17:30,Bundesliga,Matchweek 22,Sun,Away,L,2,3,Bochum,3.3,1.7,68.0,26000.0,Manuel Neuer,4-2-3-1,Daniel Schlager,Match Report,,27.0,9.0,14.6,0.0,0,0,2024,Bayern Munich
32,2024-02-24,18:30,Bundesliga,Matchweek 23,Sat,Home,W,2,1,RB Leipzig,1.5,0.9,57.0,75000.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Match Report,,16.0,4.0,16.3,0.0,0,0,2024,Bayern Munich
33,2024-03-01,20:30,Bundesliga,Matchweek 24,Fri,Away,D,2,2,Freiburg,1.8,1.5,62.0,34700.0,Manuel Neuer,4-2-3-1,Sven Jablonski,Match Report,,20.0,7.0,14.6,0.0,0,0,2024,Bayern Munich
35,2024-03-09,15:30,Bundesliga,Matchweek 25,Sat,Home,W,8,1,Mainz 05,6.2,0.8,59.0,75000.0,Manuel Neuer,4-2-3-1,Patrick Ittrich,Match Report,,24.0,11.0,11.6,0.0,0,0,2024,Bayern Munich
36,2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,W,5,2,Darmstadt 98,3.6,1.2,76.0,17810.0,Manuel Neuer,4-2-3-1,Tobias Reichel,Match Report,,27.0,6.0,14.6,0.0,0,0,2024,Bayern Munich
37,2024-03-30,18:30,Bundesliga,Matchweek 27,Sat,Home,L,0,2,Dortmund,1.5,0.9,61.0,75000.0,Thomas Müller,4-2-3-1,Harm Osmers,Match Report,,17.0,1.0,13.9,0.0,0,0,2024,Bayern Munich
38,2024-04-06,15:30,Bundesliga,Matchweek 28,Sat,Away,L,2,3,Heidenheim,1.9,1.4,67.0,15000.0,Thomas Müller,4-2-3-1,Robert Schröder,Match Report,,15.0,7.0,14.4,0.0,0,0,2024,Bayern Munich
40,2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,W,2,0,Köln,2.2,0.9,69.0,75000.0,Thomas Müller,4-2-3-1,Frank Willenborg,Match Report,,16.0,6.0,14.9,0.0,0,0,2024,Bayern Munich
42,2024-04-20,18:30,Bundesliga,Matchweek 30,Sat,Away,W,5,1,Union Berlin,1.4,1.4,63.0,22012.0,Manuel Neuer,4-2-3-1,Sven Jablonski,Match Report,,19.0,9.0,16.5,1.0,0,0,2024,Bayern Munich
43,2024-04-27,15:30,Bundesliga,Matchweek 31,Sat,Home,W,2,1,Eint Frankfurt,3.3,0.5,62.0,75000.0,Manuel Neuer,4-2-3-1,Daniel Schlager,Match Report,,19.0,7.0,17.8,0.0,1,1,2024,Bayern Munich
45,2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,L,1,3,Stuttgart,1.7,1.8,39.0,60000.0,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,9.0,2.0,17.1,0.0,1,1,2024,Bayern Munich
47,2024-05-12,17:30,Bundesliga,Matchweek 33,Sun,Home,W,2,0,Wolfsburg,0.3,0.2,59.0,75000.0,Manuel Neuer,4-2-3-1,Bastian Dankert,Match Report,,6.0,3.0,17.7,1.0,0,0,2024,Bayern Munich
48,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,2,4,Hoffenheim,1.5,1.8,52.0,30150.0,Manuel Neuer,3-4-3,Marco Fritz,Match Report,,11.0,4.0,15.7,1.0,0,0,2024,Bayern Munich
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,2,3,Leverkusen,1.6,1.4,56.0,29464.0,Willi Orban,4-2-2-2,Felix Brych,Match Report,,14.0,6.0,15.5,0.0,0,0,2024,RB Leipzig
